Emotion,Comment
sadness,Death of my father.  he died of laryngeal cancer.
disgust,When I got indecent offers.
guilt,"My schoolmates were teasing a pupil who was not able to defend  
himself very well; I should have taken his part."
sadness,My grandfather's funeral.
disgust,"In cinema I saw a film which showed how a person was torn out his  
guts when he was still alive."
shame,"I was sitting in a restaurant with friends. They asked me  
something which they thought I should know. Actually I know it,  
but at that time I was not able to remember it."
fear,"I had climbed on a cherry tree alone and there was a thick  
caterpillar beside my fingers. I feel disgusted by caterpillars  
and snakes. I was terribly afraid of the caterpillar crawling on  
my fingers. Out of the fear I was almost unable to climb down."
anger,"A friend of mine told other people that I was a slattern (because  
of an occurence that had happened some time ago). When I heard  
about that I was very angry."
sadness,"My grandfather was seriously ill, he had only a few days left to  
live. I had always loved him, but never told him. When I saw him  
for the last time, I had the feeling that I had omitted so many  
things I could not do again. - There was a fly sitting on his  
forehead and he was too weak to drive it away. I was very sad  
when I saw that."
disgust,"Normally my father never tells vulgar jokes, we do not speak  
about sexual things, too. But once he told such a vulgar joke,  
that I was really disgusted. He did not tell me, but some of his  
friends, but I was present."
shame,"When I was 6 or 7 years old, I pulled down the trousers of a  
friend because I wanted to know what she looked like. My mother  
watched that and (as a punishment) sent me into the house. We  
never spoke about that; I think it was as embarassing for her as  
it was for me. "
guilt,"When I told my boy-friend, who loved me very much, that I wanted  
to put an end to our relationship. a long time before I told him  
that and also a long time after that I felt guilty, because I had  
hurt him so much."
joy,"Unexpectedly I met some persons who I like very much.  
Spontaneously they invited me and integrated me within their  
group, although it was late in the evening."
fear,"After a footballmatch I went home by car, a friend drove. I did  
not realize that he was drunk until we were in the car. He was  
madly racing. Several times we were in dangerous situations and I  
told him to be cautious, but he did not care."
anger,"A friend of mine uses butter instead of oil when he is cooking. I  
am always angry about that, because it is an unnecessary luxury.  
Recently we both were cooking and he wanted to use butter again.  
When I had already put the oil into the pan, he poured it out  
again and put the butter into the pan."
sadness,"After some friends had come to see me. They had stayed for  
several days and we had got on very well. When they had left, I  
had a feeling of emptyness."
disgust,"I had a quarrel with a friend who lived with me in the same flat.  
He moved out. Before he went he invited me and some friends for a  
drink. At last he was totally drunk and smelled disgusting.  
Besides, he told lies about us and behaved as if he was to be  
pitied."
shame,"I went to see a friend. There were other people, too, and  
everybody brought some present. I was the onlyone who brought  
nothing. My friend was very hospitable and did not show anything  
- although I knew how he felt."
joy,"I had a quarrel with my fiancT. When he admitted his fault,  
everything was allright. It was then for the first time that he  
surprised me with coffee and cake and a bunch of flowers."
sadness,"I had to give up my love, because it did not work out well."
disgust,I was insulted without a reason by a drunk man.
shame,"My boyfriend had drunk too much and beaten me. When I had to show  
the letter the door, which was almost crashed, I felt ashamed."
guilt,"I spied on my fiancT and was terribly jealous. Later I saw that  
there was no reason for that."
joy,"My sister had a daughter. I saw the baby for the first time  
through a pane of glass and she looked at me."
fear,"My mother, my sister and I were sitting in the sitting room and  
watching a film on TV. My father came home drunk and told us to  
turn off. When we did not do that he switched off the fuse and  
started shouting. We were sitting in the dark and I was afraid  
that he would do us a harm."
disgust,"When my grandmother was about 80 years old, she lived with us for  
several years. I saw her illness. I did not even want to breath  
the air that smelled of her presence."
shame,"I am left-handed. When I attended the first form, we learned to  
write with pens. I smeared everything I had written. All my  
friends had written well and wanted to know why the teacher was  
looking at my note-book. I was ashamed."
guilt,"When I was 4, we spent our holidays at the seaside. My sister and  
her friend wanted to go to a bay on an undangerous way. I wanted  
to arrive before them and went on a shorter, but more dangerous  
way. When I arrived, I found nobody there. I waited for a long  
time, but nobody came. On my way back I met my mother who had  
been searching for me desperatly. She did not scold me, but I saw  
how much she had worried (herself)."
joy,"When I was 17, I had a mystic vision. I melted into a dazzling  
light, which omitted perfect love. The physical experience became  
unimportant, I heard or saw the words ""overcome egotism"". The  
feeling of joy remained for month after that experience."
fear,"When we had swimming instruction, we had to take a header from  
the springboard. I usually refused to do that, but at least I was  
forced to."
anger,"When I played in a chess championship, I was disturbed by other  
people. I asked them to be quiet, but in vain."
sadness,When my flute-teacher was replaced by a new one.
disgust,"When I was a child, I was sometimes forced to eat things that  
disgusted me."
shame,"When I was 12 years old, some friends of our family had come to  
watch TV. I lay on the floor and moved my pelvis. When the other  
people had gone, my mother told me that it had looked as if I had  
wanted to make sex."
guilt,"When I shirked the gymnastic lesson I met the director of our  
school who asked me what I was doing."
joy,"When I was in a situation which seemed hopeless for me, I moved  
back to my parents. For my father it went without saying anything  
(normally he ofter grumbles at me)."
fear,"I lived in a flat with a couple. The woman was so jealous of me,  
that she sometimes had crying fits. Eventually her husband could  
not stand that any more and wanted to kill me."
anger,"I have a very big family. At my grandmother's funeral we all met  
and everybody pretended mourning. In reality it was like a  
fashion-show: everybody wanted to show himself."
sadness,Often a dog which is treated very badly by his owner comes to us.
disgust,"After a pleasant evening with friends in my flat, one of them did  
not want to leave, because he wanted to sleep with me. He said  
that he had fallen in love with me, that he felt alone and so on."
shame,"I look up to my Karate-teacher. When I came to a training lesson  
after I had not trained for one week, I was totally stiff. I was  
ashamed."
anger,When my mother kept me in leading-strings.
disgust,When I worked at the life-saving sevice and saw the first exitus.
shame,When I made a fool at an examination.
guilt,"When I had wrongly explained someone an important exemple for an  
examination."
joy,"Last year I went to see friends in Yugoslavia - two girls with  
whom I get along very well."
fear,"Before I went to the urologist's I was afraid for several  
reasons: because it was for the first time, because the medical  
check-up might be painful, because of the uncertainty and because  
someone had informed me about it."
sadness,A friend who was 22 years old died.
shame,I had to pay a fine because of speeding.
joy,When we got a young dog.
fear,I was afraid before I went to the doctor's.
sadness,My dog died of a cerebral tumor.
disgust,"When I worked at the life-saving service I was disgusted by a  
patient whose outward appearance was distasteful."
shame,"When I was a child, I had a medical check-up. I had to undress  
myself and was examined by several doctors."
guilt,"When a classmate wanted to sit down, I pulled his chair away, so  
that he was slightly injured."
joy,"When I heard that a good friend, who had been abroad for a long  
time, would come and see me."
fear,"When I had my first oral examination after a long time;  
especially one day before the examination when I had the feeling  
that I had not studied enough and had not enough time to make up  
for it."
sadness,When my brother died.
shame,"When I was a child: I had told my mother a lie and she found it  
out."
guilt,"My father had been alone for a long time because my mother and  
sister were on holiday. I had not seen him for a long time and  
when I finally called him I realized that he had been very sad  
about that."
joy,I unexpectedly got a present from my father.
fear,"When I had to go through lonely streets in the middle of the  
night."
anger,"My boy-friend had promised me to come home at about 10 p.m. He  
did not return until midnight and had consumed a lot of alcohol."
sadness,"A relative, whom I like very much, left for the United States."
disgust,"When I was walking on the street, I slipped on the dung of a dog.  
I did not fall down, but I felt disgusted by the bad smell on my  
sole."
shame,"Some persons, who are important for me, came to see me and I had  
not washed the dishes."
guilt,"I was looking after my cousin's little daughter; she fell down,  
was slightly injured and cried vociferously."
joy,"I met again a very good friend whom I had not seen for a long  
time."
fear,"I got lost in a foreign town. I did not know the language of that  
country and it took me hours to meet my friends again."
anger,"A friend had promised to get me a book which was very important  
for my work, but she forgot it."
sadness,"My dog, whom I had had for eleven years, died. I watched his  
soporification."
disgust,"A drunk man bumped into me and wanted to grip me. Fortunately I  
was able to break loose."
shame,"When I stayed on a nudism beach, a man was watching me in a  
disagreeable way. I had the feeling that he was examining my  
body."
guilt,"I had a quarrel with my father. He was depressed, because  
somebody had treated him injustly. As we had an argument, it was  
impossible for me to help him."
fear,"After a motor accident (I was the frong-seat-passenger) I spit  
blood."
sadness,My uncle died - I felt sad at the funeral.
disgust,"I saw a drunk man tottering behind his wife and insulting her  
awfully."
shame,"After an oral examination I shook the professor's hand, but he  
had only stretched it out for my ball-point-pen."
guilt,I spread abroad an intimate secret.
joy,"I bought a Christmas present for my girl-friend. On my way home I  
was really glad about having found such a suitable thing."
fear,"My fear appeared in the form of jealousy. I was afraid that my  
girl-friend had fallen in love with another man, I was afraid to  
lose her."
anger,"I was angry when I watched a ski-race. All the Austrian skiers  
dropped out."
sadness,"During my holiday I met again a friend who had tried to commit  
suicide. She had just left hospital, her lips were trembling, she  
looked miserable."
disgust,"On my way home in the middle of the night I saw a drunk man and a  
woman who were quarreling, beating each other, shouting and so  
on. I felt disgusted especially because they treated each other  
in such a degrading way."
shame,"My girl-friend and I live in one flat with another couple. We get  
along very well and usually we share everything. Once we two were  
sitting in our room and eating a cake when the others came in."
guilt,"I was on a visit to friends who have a baby. The baby was crying  
in another room, but soon it became quieter and it seemed that it  
would fall asleep. I went into the room where the baby was lying  
- and it started crying again.
"
anger,"My father had bought too many goods for his shop, there was not  
enough space to store them."
sadness,A friend died of cancer when he was 18 years old.
disgust,"At a party I saw two persons having a fight. The aggressions and  
the hate between these persons produced an unpleasant impression  
on me."
guilt,"When I was driving my car, I wanted to pick something from the  
floor of the car and drove into the guide-rail. I thought that I  
should not have done that and felt guilty."
joy,"On my birthday a friend came to see me unexpectedly and brought  
me flowers. I usually do not see her very often."
fear,"I was awakened by a dream in the middle of the night. I dreamt  
that a stranger was in my house."
disgust,When I heard about a murder of a 16-year-old girl.
guilt,"I was sitting in a restaurant with friends and I knew that in the  
meantime my girl-friend must have come to my flat and found the  
door closed."
joy,"After I had been away for a long time a friend told me that I had  
passed all my written examinations."
fear,"Recently my younger brother disappeared for two days without  
leaving a trace. Usually he tells me when he wants to do  
something like that, therefore I was afraid that something had  
happened to him."
anger,"I played chess with my 12-year-old brother. I made a stupid  
mistake - and he won!"
sadness,"It was only once that I really felt sad: at my grandfather's  
funeral (after a long time of suffering he had died of cancer)."
disgust,"3 years ago I served in the army. Once a collegue denounced me  
because of a delict, which is usually committed. I was arrested  
for 3 days. I still detest this man."
shame,"Once I went home totally drunk and roused all our neighbours from  
sleep."
guilt,"When I was in the puberty I smashed the favourite toy of my  
little brother because of a fit of rage."
joy,"After I had had a disappointment in my private life, my friend,  
who studies in Vienna, came to see me spontaneously."
fear,Before an oral examination - which I did not take eventually.
sadness,I am sad because some relations to friends are not very good.
disgust,"I think I have hardly had a situation where I felt disgusted.  
Perhaps once, when I saw a big spider."
shame,When my boy-friend left me and I wanted to persuade him to stay.
guilt,"I promised my mother to come home on her birthday, but at last I  
was prevented. Nevertheless it would have been possible to go but  
I did not."
joy,Seeing relations from overseas after a few years.
fear,"Unknown person knocking repeatedly on backdoor when no one else  
was at home."
sadness,A friend breaking up with her boyfriend.
shame,Parents finding out I smoked.
guilt,Not thanking relatives for a favor done.
joy,Emotional reassurances by spouse.
anger,Heated discussion with spouse concerning new house.
sadness,Loss of close relative.
disgust,The price I was charged for work on my car.
guilt,Losing my temper with my spouse.
joy,A night spent with a group of friends.
fear,"A car came very close to hitting me whilst I was crossing the  
street."
anger,"A friend whom I had gone out of my way to do something for did  
not bother to acknowledge my efforts, and treated me badly  
thereafter."
shame,"On one occasion whilst engaging in horseplay with my girlfriend,  
I caused her to be physically harmed."
guilt,"I borrowed money from a friend and did not pay back the debt when  
I said I would."
joy,Getting a phone call from a very old friend.
fear,Before giving a seminar to a rather large audience.
disgust,"At a social event when none of the guests would help to serve  
food or clear tables. It was all beneath them."
shame,"The mother of a small child found me shaking the child in  
exasperation, because I couldn't get it to sleep."
joy,"The more than satisfactory result of a recently-completed  
university subject was communicated to me by phone."
fear,"I was a passenger in a jumbo-jet which was accelerating down the  
runway and almost at the point of take-off, when the pilot  
suddenly braked and put the engines into reverse thrust, in an  
obviously urgent attempt to stop the aircraft. The hostesses show  
signs of concern and my first thought was that something was on  
the runway in our path and that we were in danger of hitting it."
anger,"A person walking his dog allowed it to defecate on the footpath  
outside my house. Although it had happened before, this was the  
first time I had witnessed it. All the skills I had learnt from  
PY 263 were thrown out the window when his indifference to my  
protestation was obvious to me."
shame,"I had promised to contact a friend about a particular matter by a  
certain date, then thought no more about it until the friend  
reminded me after the date had passed."
guilt,"A neighbour complained about smoke from my backyard incinerator  
entering his house after a change of wind direction. I lit the  
fire after originally checking that the wind would not blow the  
smoke in that direction."
joy,"On my birthday, when a very close friend sent me a huge bouquet  
of flowers."
fear,"When I heard that there had been some women raped at uni, just  
near where I usually park my car and walk by myself at night.  
Although I wasn't in danger it unnerved me for days and I was  
fearful whenever walking through the area."
anger,"When the person I am going out with let me down in a situation  
that I was depending on them, and didn't show respect or care."
shame,"When I realised that I had become too emotionally involved with  
the person I'm going out with, and when I began to like someone  
else and questioned whether I really care about person I'm with."
guilt,"When I came very late one night (or morning !) and my parents  
were waiting, not so much angrgy as disappointed."
joy,"One of my friends and I had breakfast in a restaurant. It was  
spontaneous and lots of fun."
fear,"I was walking home late at night from lectures and someone  
deliberately started following me. It was dark and I was scared."
anger,"At one of my close friends saying she didn't like the way I am  
nice to people I don't know, or who have been nasty to me."
sadness,"Leaving Melbourne to move interstate - leaving relatives and  
friends behind."
disgust,"Disgust at a girl I know for continually feeling sorry for herself  
and never acting positively to do something about her problems."
shame,"I am ashamed of the horrible way I used to treat my little  
sister."
joy,"I noticed that Meryl Streep and I had similar cheekbones and jaw  
structure."
fear,I do not recall being scared in the near past.
sadness,"Girl I was fond of did not initiate conversation as I expected in  
tutorial."
shame,"I do not seem to feel emotion such as shame, guilt or fear - far  
out !"
joy,"When I was complimented and called ""delightful""."
fear,When my mother was angry with me over my friends and boyfriend.
anger,Anger towards my lover for being late.
disgust,"Disgust with myself for consistently making foolish errors in  
communicating with others (asking for 1/2 Kg of nuts when I only  
wanted 50 g)."
guilt,"Guilt - because I had not written to my sister for months before  
she died."
joy,"My current lover and I had been very busy with work and study and  
had not had time alone together for almost a month until one  
afternoon recently when we made love for hours and then showered  
and ate together."
fear,"A workmate and I had been antagonistic with each other for some  
weeks - he had reacted violently to my criticisms of his work  
standards."
anger,"I had been having a heated argument with a lover - whose  
intention was that we should marry in the near future - and was  
rejected by her when I started to cry. When I stopped crying for  
a moment she said ""There, have you got it all out now ?""."
disgust,"I discovered some pornographic literature in a workmates drawers.  
The literature featured pictures of naked women defecating on one  
another."
shame,"Upon returning from a journey of about two weeks duration, I  
found that a collection of pornographic literature had been  
removed from my room I had previously thought that no one was  
aware of the existence of this material."
guilt,"My mother and father had forbidden me to ride my scooter on the  
road, and I had transgressed (together with the ""wild"" kids from  
across the street) by riding my scooter down a steep hill near  
our house. My mother sent the boy next door to collect me, and I  
was severely scolded."
fear,"After going through a glass door, I sustained a number of serious  
cuts which were gaping open."
sadness,"Watching ""11 am"". They had a programme on the starving refugees.  
Their plight was a source of sadness for me."
disgust,"A girl with whom I was staying having sex with a person for about  
3 nights running, and then with his brother the following night,  
and back again."
shame,"During an argument an acquaintance accused me of having insulted  
her parents by having had sex in their house which they  
overheard."
guilt,"A girl whom I hadn't seen for a period of time told me that she  
had been pregnant and had an abortion - I was the father."
fear,"When my boyfriend was leaving to go home one night, I had a very  
deep sense of uneasiness and an unwarranted fear that I wouldn't  
see him again."
anger,"Anger with boyfriend's best friend for alienating me and blaming  
me for personality changes in my boyfriend and changes in my  
boyfriend's attitude to him and his obvious egoistical attitude  
himself in doing so. I also lost one of my best friends - his  
girlfriend."
sadness,"Death of paternal grandmother to whom I was very close - died of  
cancer."
disgust,"Disgust with oneself after being intoxicated enough to go to bed  
with a stranger."
guilt,"After being told that an ex-boyfriend had been hurt by my wearing  
something he had given me when I was with another guy. I was  
unaware of my actions really, as I had not considered the fact  
that he had given it to me, and might see me. I still respected  
his opinions of me."
anger,"I was enjoying the company of bird life while I was eating lunch  
in a park when a group of people began throwing sticks at some of  
the birds - for no reason other than the satisfaction of seeing  
them being scared away."
sadness,"When I left my sister's house after staying there for a few days.  
She has two little boys, and they are very warm people (the  
family). At the time, I was in need of this sort of contact, and  
I grew very fond of children (no, I'm not a paedophiliac)."
shame,"When I woke up after a night of drinking I couldn't remember and  
discovered several untoward things had occurred."
guilt,"Leaving home when my mother thought I had no reason to go and  
felt that I was rejecting her. She is a constantly depressed  
person (a bit of a worry-wort) and I felt guilty about having  
given her this additonal problem."
joy,I'd just got the top mark in an exam.
anger,"I was at the corner shop, which I patronise regularly I had only  
a $ 50 note and I purchased about $ 3 worth of goods that I  
really needed - the keeper made sarcastic remarks to others about  
people using him to cash notes."
disgust,A lecturer in great detail spoke about his sexual experiences.
guilt,I stole 5c from my mother's purse for a choo-choo bar - I was 6.
joy,"On a sailing boat at night, under a full moon, listening to Pink  
Floyd, drinking good wine, with good company, the boat being  
steered by autopilot, and a full eclipse of the moon."
fear,Fear of sexual overtures from a close relative in the family.
anger,"When my rights to use a shared house had been usurped by  
co-owners out of pure selfishness."
disgust,"Viewing the nuclear war film ""Threads""."
joy,Family member survived an operation.
fear,"I was walking to my car at night and thought that I was being  
followed."
disgust,When I became aware that an acquaintance had stolen from friends.
shame,Caught cheating on a diet.
guilt,I had shown anger toward my dog and he was killed later that day.
joy,A close married friend has just had his first child.
fear,"Stranded in the north of Fraser Island with a submerged 4 WD hire  
vehicle."
anger,"Not being alowed on a school camp with the class I'd been in for  
11 years (I had stayed down due to illness)"
disgust,"A female friend was violently ill on the return journey from a  
wedding reception we attended. Getting her out of the car when  
home took quite a while."
shame,Cheating in a minor geography exam at school.
joy,Having received an offer to do post-graduate work.
fear,"Taking a trip to crocokile country I fell out of the boat and was  
motivated by fear of being eaten to perform great swimming feats."
anger,"Last night - finding that someone in the house had eaten an  
entire packet of almonds I had bought for a family treat."
sadness,"The loss of my father as he died of a massive and sudden heart  
attack."
disgust,"When after a party celebrating a friend's 21st birthday - upon  
leaving I found 10 people outside throwing up and further 4  
unconscious."
shame,"Having had a very heated argument with my sister - I began  
hitting her about the head with a newspaper I was holding."
joy,"Winning a tight tennis match. One set to play, and the team was  
behind by 3 games. We won the last set 6-2 and won the match by a  
game."
sadness,Death of the family dog.
disgust,"We had friends to dinner and one of them threw a beer bottle in  
the air, and it bounced on an expensive table and damaged the  
table .The person did not apologise."
shame,"After making a joke about a friend's marriage that was too  
personal."
guilt,"Carried out a vandalistic act on some windows at an old army  
location."
joy,"Arriving in New Zealand as a teenager - first overseas trip -  
something ""exhilarating"" about the change of scenery etc."
fear,"As a child (i.e. 5-7) hiking in reasonably rugged bush and  
becoming lost for a duration of 5-7 hours."
anger,"Following an argument with my brother, he broke my golf clubs."
sadness,"Leaving the house myself and a female friend had shared for 6-8  
months because of the friendship which developed and our approach  
to each other in occasional instances of several personal crises."
disgust,"Discovering a good friend had lied to me, resulting in a  
detrimental relationship with another person."
guilt,"Leaving University in 1982 following exclusion and lying to  
parents/friends about reasons for leaving, i.e. lying about the  
fact of having been excluded."
joy,"Going to a friend's wedding and seeing many of my old friends  
whom I had known before I moved to a new district five years  
previously."
fear,"Car accident. Travelling as a passenger along narrow bitumen road  
at night - trying to overtake semi-trailer. The truck pulled over  
onto our side and we hit the wet dirt, swerved back into the  
truck, back onto the verge, over a guide post and into a ditch."
anger,"At school when I had a shouting argument with a friend over my  
ability to carry out a particular duty in the correct way without  
harming her."
sadness,"Looking up end-of-semester results, and finding I'd failed three  
out of seven (subjects)."
disgust,"When I found out some family friends were embezzelling the  
company they worked for - using company petrol and food supplies  
and claiming furniture and crockery."
guilt,"After having told an authority figure a very large lie I was told  
she believed me, because she believed I had never lied to her. "
joy,"After being away on a holiday for 2 months, a friend, who lived  
interstate, had remembered when I'd get back and phoned to  
welcome me home on the night of my arrival."
fear,Walking along with a dog barking at you and following you.
anger,"Doing a group assignment and being left to do all the work and  
take the blame for any mistakes."
disgust,Someone ruining someone's property just for the fun of it.
shame,"A friend giving me an expensive Christmas gift while I gave her a  
cheap one."
guilt,Talking about someone behind their back.
fear,"I was in about Grade 7, I came home from school one day and was told  
that my mother had skin cancer and would have to go to the hospital  
straight away."
anger,"Brother provoked anger. It was when mother and father were away  
and we had to look after ourselves. He accused me of being  
selfish and a snob."
shame,"Had a very good friend. We grew apart I found myself running her  
down to other friends."
joy,"When I won the ""Under 18"" Showjumping at the Brookfield Show. The  
competition was very stiff and there were many riders competing."
fear,"When I was on holiday, walking back to where I was staying, at  
night, and two men started closely following me. There was nobody  
around that I could run to."
sadness,"I was terribly upset when my kitten got hit by a car. He didn't  
die, but for several weeks we thought he might have to be put  
down."
shame,"When I hadn't studied for an exam, so I pretended to be sick so I  
wouldn't have to go to school. I lied to my mother - she realized  
I had been lying when she got home from work and found that I had  
been over to a friend's place."
guilt,"When I was young, I stole some money from my mother's purse. It  
wasn't very much, but I can remember when she found it gone I  
felt very guilty."
fear,First day at University (I didn't know what to expect).
anger,"At a school dance when my supposed ""best friend"" kept walking  
away from me whenever I came near her."
sadness,"At end of school - function to ""celebrate"" ? Leaving friends who  
I'd known for up to 12 years."
disgust,"While watching a film of an experimental operation on a cat's  
brain in which the cat had metal pieces protruding from its eyes,  
mouth etc. to keep the head stable while being cut open."
guilt,"After having been told not to take the car, I took it anyway and  
felt guilty about having taken it."
joy,"Eating biscuits and drinking Milo (Chocolate energy drink made  
with milk and usually drunk warm) with my friend at College. We  
get on really well, don't withold any feelings about each other's  
friends and are pretty good at cheering each other up when we are  
homesick."
fear,"Going to a disco by myself to wait for some friends. We had  
separated and hadn't planned where to meet. I wasn't sure if they  
were even going to this place so I felt very conscious of being  
alone."
anger,"A person ignored my advice, did not pay any attention to what was  
saying. She acted as though I wasn't even there. We were doing  
group work so everybody had the right to speak yet she just  
ignored me. She made me feel insignificant."
disgust,"At school, when the only thing people my age could think of was getting  
rolling drunk. They couldn't have a good time without firstly  
getting drunk."
shame,"A girl I was with yelled something out to this group of guys I  
knew. It sounded really childish."
guilt,"I didn't tell my parents exacly what had made me so late in  
getting home one night. I left out some details and somehow, I  
felt I had lied to them."
fear,"When cleaning up a pile of junk under our house, a huge spider (a  
""Jungle Spider"") ran out near me. (I do not like even small  
spiders)."
anger,"At the hardware store, trying to convert Imperial to Metric  
measurements, I made a mistake, and didn't buy enough tiles for  
the bathroom. I was angry at myself, because I hope to be a Maths  
teacher."
disgust,"During the PY 102 film session on Tuesday, one of the films shown   
was of an experiment on a live cat involving strapping it into a  
machine for possibly days, and doing things to its brain."
shame,"Several years ago I was caught riding the train without a ticket.  
The station-mistress treated me like a criminal almost."
joy,"I got a good reaction from my tutor and tutorial group for a  
presentation I'd given that I was very worried about."
fear,"A man was yelling outside my window at 3.00 am, yelling threats,  
though not to me."
anger,"Going away for the weekend, leaving my College room open - when I  
returned several friends had had a party there, leaving the mess."
sadness,Passing away of my father.
disgust,"At a party where the boys were telling revolting stories about  
the girls they'd been with."
fear,"Walking around the University at night by myself, having been  
previously warned of rapes, etc."
anger,"When I received the mark well above requirements for the course I  
wanted to enter, yet I was not accepted - anger at the injustice  
of it, because I didn't receive early release of H.S.C. marks."
sadness,"When I left all my friends at school (break up) knowing we would  
probably all go our separate ways, and none see one another for a  
long time."
shame,"When I was little and didn't own up to placing a lolly on the  
varnish, this pulled it all off and I didn't admit my guilt."
guilt,"I felt guilty when I skipped a two hour practical class I knew I  
would miss out on more information which I did not know, but I  
couldn't cope with going."
fear,"At the tender age of eleven a friend and I left a party and  
proceeded to walk through dark and secluded streets of a bad  
neighborhood to find a telephone (recent spate of Horror Movie  
watching had occurred)."
anger,"In a situation whereby a friend's actions were deliberately  
against my wishes and (with) no regard to my feelings."
sadness,"I broke up with my boyfriend of seven months, but it was a very  
""indepth"" relationship and so after feelings of grief and loss  
were over I felt an immense sadness."
joy,Getting back with my boyfriend after a year away - apart.
fear,Having my luggage checked at Customs.
anger,When a friend wouldn't speak to me and wouldn't tell me why.
sadness,Thinking about friends overseas.
disgust,Hearing of a filthy situation over the phone.
shame,Sending pictures home when I'd put on so much weight.
guilt,Borrowed someone else's towel without asking.
joy,"When I opened my TE Score envelope, and saw I got into  
Physiotherapy."
fear,When I was bringing in the shopping and nearly stood on a snake.
sadness,"At our Senior dinner - separated from school friends, nothing  
will ever be the same again."
guilt,"When I used to tell Mum I was going somewhere else than where I  
was (going)."
joy,"When my brothers had passed all of their exams and were able to   
graduate from their courses."
fear,When I was caught in an elevator and it got stuck between floors.
anger,When I was put into a tennis team below my standard.
fear,"When somebody broke into our home one night when my mother was  
out, and my sister and I had just gone to bed."
sadness,"When my father passed away of cancer, I was extremely saddened.  
He was not very old, which made matters worse. The actual death  
was horrendous, but the moving funeral saddened me more so."
disgust,"When walking along the beach with my boyfriend, we saw 2 people  
having sex on the sand dunes in full view of everyone. It was the  
fact that they chose that area in which to have sex, that  
disgusted me."
disgust,"I stayed at the Coast for a weekend with friends. My brother came  
to drive me home, but was rude, and in a hurry to rejoin his  
friends. I was embarrassed because the family involved was  
extremely nice, and hospitable to him."
guilt,"I ate 12 biscuits one night after tea while watching TV - I don't  
know why."
fear,"I was seven years old and swimming outside the flags at the Gold  
Coast. I was caught in a rip and taken out about 100 m. I  
couldn't swim too well, but an older friend (17) swam out and  
saved me."
anger,"While at school I had to write an essay for doing something wrong  
that I didn't do. I wrote the essay about how I was mistreated and  
got Saturday morning detention along with a few other kids, but  
they didn't show up."
sadness,When one of my closest friends died unexpectantly.
shame,Lying to a friend about something that was trivial.
guilt,"I had promised to do a task for someone that was close to me, and  
from the outset I knew it was important that I do it, but when it  
came to it, I let them down."
anger,"Getting terrible meals, but paying heaps for them."
sadness,When felt lonely about writing my family.
disgust,Person talking about a situation while eating.
shame,"Felt it after I spoke terribly (got mad at) the person who is the  
most important in my life."
guilt,Not giving up something for Lent.
fear,Every time I see a spider or a snake.
sadness,The first time I left home.
disgust,"On a camp - boys and girls in one cabin. One guy forced himself  
upon another girl and was having intercourse, while the girl in  
the bunk beneath was pretending to be asleep and not be ill."
sadness,Close relative is dying of cancer - found out last week.
disgust,"Doctors ignored relative who complained about pain, and is now  
dying of cancer."
shame,"One of my best friends'fiancT broke off the relationship because  
his feelings for me were stronger than for her. I felt the same  
for him, but did not really encourage him to leave her or stay  
with her - still felt shame."
sadness,After the fact that made me ashamed I felt sadness.
disgust,"A person that eat half of a cockroach in a cake without knowing  
it."
shame,"A situation where we were the center of attention, and things  
happened without my control on them, that showed our disagreement,  
and ignorance."
guilt,When I let a person assume a fault that I committed.
joy,"When finally I found a place to live, I felt relieved, predicting  
changes in my life, and I became happy."
fear,When I dreamed that I was being attacked by a friend.
sadness,To fight with a sister and to know that she doesn't care.
disgust,To be kissed by soembody I didn't expect to.
guilt,"When I finished a love affair where I was responsible of the sad  
end."
sadness,"I felt it when I was at home and saw a discussion without sense  
between my parents."
disgust,"When I see all the putridness of people. The fact is the catarrh  
and spits that whash the streets of S.Paulo."
shame,"I felt it when I felt that I was being observed as an object of  
pleasure (sexual) when I opened and took off a shirt in a  
classroom at P.V.C."
guilt,"I felt it when playing I pushed my brother and he fell down  
cutting himself in pieces of tile."
fear,"When I almost drowned myself in the municipal swimming pool that  
I use to go almost not excaping."
sadness,The death of my grandfather.
disgust,"To go through the underground way at suburb station of LAPA. Poor  
people and the ambulants badly dressed up in a passage badly  
kept."
anger,When an unknown person provoked me verbaly and physically.
sadness,When my team lost a championship.
disgust,"A dirty person, smelling bad and unknown laying on me."
joy,"When I began to date a boy with whom I am till now. This was 16  
months ago."
anger,I learned that my girlfriend had been unjustly missed from work.
sadness,I got separated from the man I loved.
disgust,"An acquaintance of mine revealed himself in a light unexpected to  
me."
joy,"When I took my entrance exams successfully and also when I got my  
school leaving certificate because the delivering ceremony was  
extremely official."
fear,"When I was to sit for my first entrance exam. I had fear of a  
possible failure."
anger,"I was indignant at the unimpartiality shown by the referees at  
the football match between Bulgaria and France."
disgust,"When I was watching some scenes from the Bertoluchi's film  
""Twentieth Century""."
shame,When I was a school girl and I copied at a class work.
guilt,"When I have sometimes been unfair to my parents, when I have  
happened to deceive them over some trifling things."
joy,When I was admitted to the Sofia University.
fear,When I come home late at night.
anger,"When I talk to silly, petty-minded and unmanageable people."
disgust,When I happen to witness some sadistic acts.
shame,When I have a plain appearance.
anger,My grandfather's funeral.
sadness,I was alone at home on New Year's Eve.
disgust,I was on a walk with my child when I met a drunk woman.
shame,I was unaware that I had walked the streets in torn trousers.
